target,mode,affinity,intramol,cnnpose,cnnaff,file
5HT2A_active_6WGT,1,-4.13,-0.16,0.8115,6.314,data/results/dock_5HT2A_active_6WGT/gnina.log
5HT2A_active_6WGT,2,-4.13,-0.16,0.7771,5.756,data/results/dock_5HT2A_active_6WGT/gnina.log
5HT2A_active_6WGT,3,-3.97,-0.19,0.7742,5.723,data/results/dock_5HT2A_active_6WGT/gnina.log
5HT2A_active_6WGT,4,-3.88,-0.14,0.7453,5.149,data/results/dock_5HT2A_active_6WGT/gnina.log
5HT2A_active_6WGT,5,-3.87,-0.23,0.7367,6.262,data/results/dock_5HT2A_active_6WGT/gnina.log
5HT2A_active_6WGT,6,-4.04,-0.15,0.7202,5.307,data/results/dock_5HT2A_active_6WGT/gnina.log
5HT2A_active_6WGT,7,-3.94,-0.25,0.6964,5.578,data/results/dock_5HT2A_active_6WGT/gnina.log
5HT2A_active_6WGT,8,-4.16,-0.19,0.6758,5.233,data/results/dock_5HT2A_active_6WGT/gnina.log
5HT2A_active_6WGT,9,-3.91,-0.23,0.6503,5.357,data/results/dock_5HT2A_active_6WGT/gnina.log
5HT2A_active_6WGT,10,-4.18,-0.17,0.6253,5.273,data/results/dock_5HT2A_active_6WGT/gnina.log
5HT2A_active_6WGT,11,-3.89,-0.22,0.5816,5.01,data/results/dock_5HT2A_active_6WGT/gnina.log
5HT2A_active_6WGT,12,-4.42,-0.16,0.5493,5.075,data/results/dock_5HT2A_active_6WGT/gnina.log
5HT2A_active_6WGT,13,-4.12,-0.29,0.5302,4.78,data/results/dock_5HT2A_active_6WGT/gnina.log
5HT2A_active_6WGT,14,-4.67,-0.15,0.5175,4.687,data/results/dock_5HT2A_active_6WGT/gnina.log
5HT2A_active_6WGT,15,-4.22,-0.14,0.5016,4.245,data/results/dock_5HT2A_active_6WGT/gnina.log
5HT2A_active_6WGT,16,-4.22,-0.24,0.4878,5.051,data/results/dock_5HT2A_active_6WGT/gnina.log
5HT2A_active_6WGT,17,-4.42,-0.14,0.4803,4.846,data/results/dock_5HT2A_active_6WGT/gnina.log
5HT2A_active_6WGT,18,-3.9,-0.17,0.4639,4.284,data/results/dock_5HT2A_active_6WGT/gnina.log
5HT2A_active_6WGT,19,-4.59,-0.15,0.4498,4.199,data/results/dock_5HT2A_active_6WGT/gnina.log
5HT2A_active_6WGT,20,-3.97,-0.18,0.449,4.704,data/results/dock_5HT2A_active_6WGT/gnina.log
5HT2A_active_6WGT,1,-3.98,-0.21,0.7987,5.258,data/results/dock_5HT2A_active_6WGT/gnina.log
5HT2A_active_6WGT,2,-3.84,-0.15,0.7869,4.223,data/results/dock_5HT2A_active_6WGT/gnina.log
5HT2A_active_6WGT,3,-4.06,-0.15,0.7611,5.97,data/results/dock_5HT2A_active_6WGT/gnina.log
5HT2A_active_6WGT,4,-3.89,-0.13,0.723,4.687,data/results/dock_5HT2A_active_6WGT/gnina.log
